age,height,weight,throws,brk,pitches,starter,before,TJ,diff,S
29,72,210,R,5.144222055978205,181,FALSE,89.72727272727273,1,NA,FALSE
29,75,235,R,10.413185430261949,1239,FALSE,92.72920353982302,1,0.9845626939432179,TRUE
27,72,195,R,9.636292508105289,1236,TRUE,87.54707792207792,1,-0.3509064059982876,TRUE
26,76,235,L,11.47852677711615,145,FALSE,91.57857142857144,1,0.8016833484986279,TRUE
28,74,225,L,8.18539106712485,743,FALSE,91.42385057471265,1,NA,FALSE
26,77,230,R,10.730453650479395,2825,TRUE,89.31985203452527,1,-1.9265575738838692,TRUE
28,73,220,R,7.861175821633961,385,FALSE,93.8017441860465,1,0.7772031823745493,TRUE
32,71,229,R,8.803610666769881,2331,TRUE,91.25180240320428,1,NA,FALSE
29,75,245,R,9.380673042155601,1109,FALSE,94.50224438902744,1,-0.5618437212477971,TRUE
29,76,223,R,7.800736565395646,2275,TRUE,94.28975265017668,1,-0.6684318954596904,TRUE
28,75,205,R,10.161339145208013,100,FALSE,93.09148936170213,1,NA,FALSE
27,77,200,R,9.224898196844219,891,FALSE,91.81086956521739,1,NA,FALSE
29,77,280,R,8.907471144888328,3084,TRUE,92.42167255594818,1,0.6598521077289519,TRUE
28,73,190,R,8.528287101637666,2225,TRUE,88.13493506493506,1,0.8235824903315176,TRUE
30,75,205,R,8.944340772784745,805,FALSE,94.92606382978724,1,-0.7157463694697839,TRUE
26,74,235,R,8.848753087618924,306,FALSE,93.41329787234044,1,-0.506979191021756,TRUE
26,75,225,R,9.284538024925869,23,FALSE,92.9,1,NA,FALSE
31,77,225,R,9.667597451531595,2e3,TRUE,93.06046228710461,1,1.4615318477927417,TRUE
28,79,240,R,8.56708997732098,3205,TRUE,91.97300724637681,1,0.5182336295356009,TRUE
26,72,190,R,9.573434219539555,1045,FALSE,93.24440842787683,1,-2.1524298182511643,TRUE
29,75,270,R,8.420037767372438,2410,TRUE,95.09027777777777,1,NA,FALSE
28,72,215,L,10.059505310763923,107,FALSE,89.93125,1,NA,FALSE
28,75,170,R,6.546587241618027,637,FALSE,90.13636363636364,1,-0.30369036903690017,TRUE
28,74,240,L,9.181142068289455,453,TRUE,89.69772727272726,1,NA,FALSE
27,72,195,L,10.284333091351746,492,FALSE,92.29098360655738,1,NA,FALSE
27,77,250,R,8.859024225562694,2091,TRUE,93.35524256651017,1,-0.5493804975446466,TRUE
25,73,205,R,7.090480027746271,744,TRUE,89.73855721393035,1,NA,FALSE
25,77,280,R,9.004798245892836,210,FALSE,93.68029197080293,1,NA,FALSE
28,72,215,L,9.788132681970698,1161,TRUE,92.65957446808511,1,NA,FALSE
25,75,212,R,9.474804205140146,1120,TRUE,92.83917197452229,1,1.9547782034136532,TRUE
30,74,220,R,9.458263187021053,449,FALSE,90.31298701298702,1,NA,FALSE
23,75,230,L,8.768766601270968,1658,TRUE,92.48561403508772,1,-0.4065345371797662,TRUE
31,72,215,R,8.587284804974189,649,TRUE,95.79146067415729,1,NA,FALSE
31,74,200,R,9.813119893193132,1429,TRUE,93.97281191806331,1,NA,FALSE
29,74,215,R,8.170734903161756,541,FALSE,94.61605839416058,1,-1.0032378813400555,TRUE
29,76,210,L,10.60320027838226,362,TRUE,86.96705882352941,1,NA,FALSE
30,76,205,L,7.567386939296893,33,FALSE,89.93333333333334,1,NA,FALSE
25,73,205,L,10.40709949733439,421,TRUE,93.93542435424354,1,-0.5695600216396031,TRUE
26,76,250,L,8.438056991169006,166,FALSE,86.82441860465116,1,NA,FALSE
24,75,235,R,10.68836530995491,1056,FALSE,96.25506329113924,1,-3.0818545683978016,TRUE
31,72,205,R,9.561703009925981,2616,TRUE,91.83879173290937,1,-1.861355835473475,TRUE
29,77,220,R,7.719335349101612,1072,FALSE,94.50716510903426,1,-0.17826337493021072,TRUE
29,76,220,R,9.31044228540654,529,FALSE,93.81238095238095,1,NA,FALSE
26,71,180,R,8.780089487735134,262,FALSE,95.07708333333333,1,NA,FALSE
24,72,235,R,9.2327393689428785,387,FALSE,94.20806451612903,1,NA,FALSE
29,79,260,R,6.100825183858607,2969,TRUE,94.0228813559322,1,NA,FALSE
26,73,185,L,12.34141402177072,336,FALSE,88.44390243902438,1,NA,FALSE
26,75,245,R,8.585208124618509,1158,FALSE,94.56723016905072,1,0.05201865724036736,TRUE
28,75,205,R,9.820510099195648,1911,TRUE,91.55053304904051,1,0.08950917474555808,TRUE
25,75,220,R,6.722549324758145,1527,TRUE,92.27634920634921,1,NA,FALSE
27,76,235,R,7.032599342199123,185,FALSE,93.67999999999999,1,NA,FALSE
28,75,230,R,9.12495281249399,671,FALSE,93.79314641744548,1,NA,FALSE
27,66,165,L,10.131999283130375,40,FALSE,82.51875,1,NA,FALSE
29,77,220,R,9.558539052757345,3334,TRUE,92.90991735537189,1,1.345436703350046,TRUE
29,74,195,R,8.397863667817887,251,TRUE,91.08307692307692,1,NA,FALSE
22,72,205,R,5.734532106557636,476,FALSE,95.08905109489052,1,-2.7606197223415023,TRUE
23,75,205,L,11.278252249711594,1953,TRUE,93.31648451730419,1,-0.10776281291005319,TRUE
27,74,210,R,7.499077842740565,65,FALSE,90.02000000000001,1,NA,FALSE
28,73,205,R,9.455409813221705,287,FALSE,90.56935483870969,1,0.94664516129032,TRUE
25,76,215,R,9.502180817855681,2033,TRUE,94.88060085836909,1,0.10236927883832436,TRUE
30,70,205,R,7.656647364198082,759,FALSE,94.96601941747574,1,-1.6654259456656462,TRUE
29,77,220,R,8.568451954715185,1235,FALSE,97.62286634460548,1,-0.8656548061439509,TRUE
25,75,210,L,12.245871636343594,2630,TRUE,92.25454545454545,1,0.510639302960314,TRUE
29,77,240,L,8.29507032183121,991,FALSE,88.84124513618677,1,-1.2599951361867738,TRUE
28,77,248,L,8.687267606629543,797,FALSE,92.80576923076923,1,-0.04498491704373464,TRUE
30,73,195,R,9.377688134052889,915,FALSE,91.96854838709677,1,NA,FALSE
25,75,240,R,8.555866693826621,604,FALSE,96.09561643835617,1,-2.0845819555975567,TRUE
27,77,235,R,9.306896106954264,1286,TRUE,91.5557037037037,1,0.21780375898286763,TRUE
23,72,200,L,9.06836357279718,1854,TRUE,93.14800613496932,1,-0.1923630903499003,TRUE
23,75,275,R,7.0681485526369645,45,FALSE,99.34,1,-1.9921276595744786,TRUE
25,75,245,R,8.962986571617304,791,FALSE,92.77640918580376,1,NA,FALSE
28,72,190,R,6.85544681127154,55,FALSE,92.62,1,NA,FALSE
